province,city
BC,Vancouver
BC,Surrey
BC,Burnaby
BC,Richmond
BC,Coquitlam
BC,Langley
BC,Maple Ridge
BC,Port Coquitlam
BC,Delta
BC,North Vancouver
BC,West Vancouver
BC,New Westminster
BC,Port Moody
BC,Pitt Meadows
BC,White Rock
BC,Abbotsford
BC,Mission
BC,Chilliwack
BC,Aldergrove
BC,Cloverdale
BC,Tsawwassen
BC,Ladner
BC,Victoria
BC,Nanaimo
BC,Kelowna
BC,Duncan
BC,Courtenay
BC,Campbell River
BC,Port Alberni
BC,Comox
BC,Parksville
BC,Qualicum Beach
BC,Sidney
BC,Sooke
BC,Langford
BC,Saanich
BC,Esquimalt
BC,Oak Bay
BC,View Royal
BC,Colwood
BC,Lake Cowichan
BC,Ladysmith
BC,Chemainus
BC,Kamloops
BC,Vernon
BC,Penticton
BC,West Kelowna
BC,Lake Country
BC,Salmon Arm
BC,Armstrong
BC,Enderby
BC,Revelstoke
BC,Golden
BC,Cranbrook
BC,Kimberley
BC,Fernie
BC,Trail
BC,Castlegar
BC,Nelson
BC,Grand Forks
BC,Oliver
BC,Osoyoos
BC,Princeton
BC,Merritt
BC,Ashcroft
BC,Cache Creek
BC,Lytton
BC,Hope
BC,Harrison Hot Springs
BC,Agassiz
BC,Prince George
BC,Prince Rupert
BC,Terrace
BC,Kitimat
BC,Smithers
BC,Fort St. John
BC,Dawson Creek
BC,Fort Nelson
BC,Quesnel
BC,Williams Lake
BC,100 Mile House
BC,Burns Lake
BC,Houston
BC,Vanderhoof
BC,Mackenzie
BC,Squamish
BC,Whistler
BC,Pemberton
BC,Sechelt
BC,Gibsons
BC,Powell River
AB,Calgary
AB,Edmonton
AB,Red Deer
AB,Lethbridge
AB,St. Albert
AB,Medicine Hat
AB,Grande Prairie
AB,Airdrie
AB,Spruce Grove
AB,Okotoks
ON,Toronto
ON,Ottawa
ON,Mississauga
ON,Brampton
ON,Hamilton
ON,London
ON,Markham
ON,Vaughan
ON,Kitchener
ON,Windsor
ON,Richmond Hill
ON,Oakville
ON,Burlington
ON,Oshawa
ON,Barrie
QC,Montreal
QC,Quebec City
QC,Laval
QC,Gatineau
QC,Longueuil
QC,Sherbrooke
QC,Saguenay
QC,Trois-Rivieres
QC,Terrebonne
QC,Saint-Jean-sur-Richelieu
MB,Winnipeg
MB,Brandon
MB,Steinbach
MB,Thompson
MB,Portage la Prairie
SK,Saskatoon
SK,Regina
SK,Prince Albert
SK,Moose Jaw
SK,Swift Current
NS,Halifax
NS,Sydney
NS,Truro
NS,New Glasgow
NS,Kentville
NB,Moncton
NB,Saint John
NB,Fredericton
NB,Miramichi
NB,Bathurst
NL,St. John's
NL,Corner Brook
NL,Gander
NL,Grand Falls-Windsor
PE,Charlottetown
PE,Summerside
