business_name,website,address,city,province,zip,country,source,search_query,place_id,vicinity,latitude,longitude,formatted_phone_number,international_phone_number,rating,user_ratings_total,price_level,google_maps_url,business_status,opening_hours_available,photos_count,primary_type,editorial_summary,types,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine
Sir Printing Solutions-PHOTO LAB,http://sirprinting.ca/,1556 Lonsdale Ave,North Vancouver,BC,V7M 2J3,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJvUjjjDhwhlQRn-DT4OBmyCw,"1556 Lonsdale Ave, North Vancouver",49.322976,-123.0721131,(604) 980-3860,+1 604-980-3860,4.1,104,,https://maps.google.com/?cid=3226942249041649823,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
PrintOnDemand,,821 15th St W,North Vancouver,BC,V7P 1M5,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJTbLgSzhwhlQRQFliwS-rORE,"821 15th St W, North Vancouver",49.3220886,-123.0954793,(778) 340-6666,+1 778-340-6666,4.8,87,,https://maps.google.com/?cid=1241211393913542976,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Magic Copy Computer,http://www.facebook.com/magiccopycomputer,110 3rd St W,North Vancouver,BC,V7M 1E8,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJ3_URD0xwhlQRpWDXgMxRIL8,"110 3rd St W, North Vancouver",49.3137783,-123.0773619,(604) 984-0018,+1 604-984-0018,4.7,56,,https://maps.google.com/?cid=13772097599275753637,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Vanco Print & Signs North Vancouver,http://vancoprint.com/,1488 Pemberton Ave,North Vancouver,BC,V7P 2S1,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJYRrjzhkrhFQRdQMFMZgCHQ0,"1488 Pemberton Ave, North Vancouver",49.3218551,-123.1076278,(604) 990-7272,+1 604-990-7272,4.6,19,,https://maps.google.com/?cid=944914349498368885,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Inprint Graphics & Copying,http://www.inprintgraphic.ca/,1925 W Broadway,Vancouver,BC,V6J 1Z3,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJ8wpJQbdzhlQRCcO_JFJyTgE,"1925 W Broadway, Vancouver",49.2639455,-123.1488476,(604) 739-8308,+1 604-739-8308,3.5,180,,https://maps.google.com/?cid=94138339350790921,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
247 Copies Online,http://247copies.online/,1155 W Pender St #708,Vancouver,BC,V6E 2P4,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJIf1nozdxhlQRNI5NNZ4bdv4,"1155 W Pender St #708, Vancouver",49.28824849999999,-123.1216361,(778) 680-7226,+1 778-680-7226,2.5,10,,https://maps.google.com/?cid=18335873299198610996,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Paper / Fabric Research Poster - Conference Poster Printing in Vancouver Canada,http://printinginvancouver.com/,355 Burrard St #1000,Vancouver,BC,V6C 2G8,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJG5L_MwJxhlQRJuS-UL4RlT0,"355 Burrard St #1000, Vancouver",49.2874594,-123.1170213,(778) 706-7337,+1 778-706-7337,4.7,46,,https://maps.google.com/?cid=4437472516939637798,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Print and Save,https://printandsave.net/collections/adhesive-vinyl,3642 E Hastings St,Vancouver,BC,V5K 2A9,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJRUdxvTdxhlQR3TmZ950MyC0,"3642 E Hastings St, Vancouver",49.28098989999999,-123.0246114,(604) 423-3070,+1 604-423-3070,4.2,45,,https://maps.google.com/?cid=3298900599652301277,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
24 hour Print Factory - Sticker Signs Banner Foamboard Poster,http://24hourprintfactory.ca/,1155 W Pender St #708,Vancouver,BC,V6E 2P4,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJD_7agxBxhlQR-GRtX2oYMYc,"1155 W Pender St #708, Vancouver",49.28824849999999,-123.1216361,(778) 628-9936,+1 778-628-9936,3.4,5,,https://maps.google.com/?cid=9741594314125698296,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
Kimprints,https://kimprints.com/,41 Powell St,Vancouver,BC,V6A 1E9,CA,google_places_text_search,print shop in Vancouver BC Canada,ChIJdUrTS3dxhlQRfV4S_B6SY6c,"41 Powell St, Vancouver",49.2833805,-123.1035483,(604) 685-0443,+1 604-685-0443,4.7,172,,https://maps.google.com/?cid=12061644888804056701,OPERATIONAL,true,1,establishment,,establishment;point_of_interest;store,,,,,,,
